AlarmCode;AlarmDescription(it);AlarmDescription(en);AlarmDescription(Pl);Instructions(it);Instructions(en);Instructions(Pl);ZoneDescription(it);ZoneDescription(en);ZoneDescription(Pl);VariabileAllarme;Gravita;CodicePosizione;CodiceCategoria
0002_05;Carro 1  intervenuto antiribaltamento 2;Hoist 1 anti-rollover 2;;;Check limit switch;;Carro 1;Hoist 1;wciągnik 1;All_0002_05;3;;Carro
0002_06;Carro 1 manca finecorsa carrello;Hoist 1 trolley limit switch missing;;Controlla finecorsa presenza carrello o traslatore;Check trolley or tranfer limit switch presence;;Carro 1;Hoist 1;wciągnik 1;All_0002_06;3;;Carro
0002_07;Carro 1 laser scan sporco;Hoist 1 dirty laser scan;;Controlla pulizia laser scan carro;Check hoist laser scan cleaning;;Carro 1;Hoist 1;wciągnik 1;All_0002_07;3;;Carro
0002_08;Carro 1 magnetotermico inverter salita discesa;Hoist 1 Up-Down inverter circuit breaker trip;;Controlla inverter salita discesa;Check descent/ascent inverter;;Carro 1;Hoist 1;wciągnik 1;All_0002_08;3;;Carro
0002_09;Carro 1 magnetotermico assi variabili;Hoist 1 variable axis circuit breaker trip;;Controlla finecorsa e movimento asse variabile;Check limit switch and variable axis movement;;Carro 1;Hoist 1;wciągnik 1;All_0002_09;3;;Carro
0002_10;Carro 1 magnetotermico bacinella;Hoist 1 basin circuit breaker trip;;Controlla finecorsa e movimento bacinella;Check limit switch and basin movement;;Carro 1;Hoist 1;wciągnik 1;All_0002_10;3;;Carro
0002_11;Carro 1 messo in ciclo in condizioni errate;Hoist 1 put in cycle in incorrect conditions;;Controlla che il carro sia basso e allineato sul centro vasca;Check that the hoist is low and aligned on the center of the tank;;Carro 1;Hoist 1;wciągnik 1;All_0002_11;3;;Carro
0002_12;Carro 1 bloccato in traslazione da altro carro;Hoist 1 translation blocked by another hoist;;Controlla posizione e stato dei carri coinvolti;Check the position and status of the hoists involved;;Carro 1;Hoist 1;wciągnik 1;All_0002_12;3;;Carro
0002_13;Carro 1 errore feedback rele inserzione;Hoist 1 insertion relay feedback error;;Rivolgersi alla manutenzione elettrica;Contact electrical maintenance;;Carro 1;Hoist 1;wciągnik 1;All_0002_13;3;;Carro
0002_14;Carro 1 Protezione uomo;Hoist 1 Men protection;;Controlla finecorsa pannello sul carro;Checklimit switch panel on hoist;;Carro 1;Hoist 1;wciągnik 1;All_0002_14;3;;Carro
0002_15;Carro 1 Errore feedback velocitÃÂ ;Hoist 1 spare;;;;;Carro 1;Hoist 1;wciągnik 1;All_0002_15;3;;Carro
0004_00;Carro 2 allarme conteggio salita-discesa;Hoist 2 Up-Down counter error;;Controlla Finecorsa Carro Alto - Basso - Conteggio;Check hoist up down and counter limit switch;;Carro 2;Hoist 2;wciągnik 2;All_0004_00;3;;Carro
0004_01;Carro 2 manca finecorsa alto o basso in traslazione;Hoist 2 translation up or down limit switch missing;;Controlla finecorsa Carro Alto - Basso;Check hoist up down limit switch;;Carro 2;Hoist 2;wciągnik 2;All_0004_01;3;;Carro
0004_02;Carro 2 collisione avanti;Hoist 2 collision forward;;Controlla finecorsa collisione - sistema conteggio posizione;Check collision limit switch- position counting system;;Carro 2;Hoist 2;wciągnik 2;All_0004_02;3;;Carro
0004_03;Carro 2 collisione indietro;Hoist 2 collision backward;;Controlla finecorsa collisione - sistema conteggio posizione;Check collision limit switch- position counting system;;Carro 2;Hoist 2;wciągnik 2;All_0004_03;3;;Carro
0004_04;Carro 2 allarme inverter;Hoist 2 inverter error;;Controlla inverter movimentazione carro;Check hoist movimentation inverter;;Carro 2;Hoist 2;wciągnik 2;All_0004_04;3;;Carro
0004_05;Carro 2 allarme inverter bacinella;Hoist 2 basin inverter error;;Controlla inverter movimentazione bacinella;Check basin movimentation inverter;;Carro 2;Hoist 2;wciągnik 2;All_0004_05;3;;Carro
0004_06;Carro 2 errore conteggio posizione;Hoist 2 counting position error;;Controlla posizione carro;Check hoist position;;Carro 2;Hoist 2;wciągnik 2;All_0004_06;3;;Carro
0004_07;Carro 2 errore dispositivo conteggio posizione;Hoist 2 counting position device error;;Controlla dispositivo conteggio traslazione carro;Check hoist translation counting device;;Carro 2;Hoist 2;wciągnik 2;All_0004_07;3;;Carro
0004_08;Carro 2 timeout salita o discesa;Hoist 2 up or down timeout;;Controlla movimento salita o discesa carro;Check hoist descent or ascent movement;;Carro 2;Hoist 2;wciągnik 2;All_0004_08;3;;Carro
0004_09;Carro 2 timeout traslazione;Hoist 2 translation timeout;;Controlla movimento traslazione;Check translation movement;;Carro 2;Hoist 2;wciągnik 2;All_0004_09;3;;Carro
0004_10;Carro 2 manca finecorsa centro vasca;Hoist 2 not in tank center aligned;;Controlla posizione carro e finecorsa;Check hoist position;;Carro 2;Hoist 2;wciągnik 2;All_0004_10;3;;Carro
0004_11;Carro 2 discesa su posizione occupata;Hoist 2 descent on busy position;;Controlla posizione carro e fotocellua posizione occupata;Check hoist and busy tank photo-cell position;;Carro 2;Hoist 2;wciągnik 2;All_0004_11;3;;Carro
0004_12;Carro 2 limite extracorsa superiore;Hoist 2 up overrun limit;;Controlla Finecorsa Carro Alto - Basso - Conteggio;Check hoist counting high - low limit switch;;Carro 2;Hoist 2;wciągnik 2;All_0004_12;3;;Carro
0004_13;Carro 2 limite extracorsa inferiore;Hoist 2 down overrun limit;;Controlla Finecorsa Carro Alto - Basso - Conteggio;Check hoist counting high - low limit switch;;Carro 2;Hoist 2;wciągnik 2;All_0004_13;3;;Carro
0004_14;Carro 2 bloccato da coperchi;Hoist 2 blocked by covers;;Controlla Finecorsa e movimento coperchi;Check limit switch and covers movement;;Carro 2;Hoist 2;wciągnik 2;All_0004_14;3;;Carro
0004_15;Carro 2 bloccato da agitazione;Hoist 2 blocked by movement;;Controlla Finecorsa e movimento agitazione;Check limit switch and movement;;Carro 2;Hoist 2;wciągnik 2;All_0004_15;3;;Carro
0006_00;Carro 2 timeout apertura bacinella;Hoist 2 basin opening timeout;;Controlla finecorsa e movimento bacinella;Check limit switch and basin movement;;Carro 2;Hoist 2;wciągnik 2;All_0006_00;3;;Carro
0006_01;Carro 2 timeout chiusura bacinella;Hoist 2 basin closing timeout;;Controlla finecorsa e movimento bacinella;Check limit switch and basin movement;;Carro 2;Hoist 2;wciągnik 2;All_0006_01;3;;Carro
0006_02;Carro 2 manca finecorsa bacinella;Hoist 2 basin limit switch missing;;Controlla finecorsa e movimento bacinella;Check limit switch and basin movement;;Carro 2;Hoist 2;wciągnik 2;All_0006_02;3;;Carro
0006_03;Carro 2 ST movimentazione telai;Hoist 2 timeout variable axis left;;Verificare lÃ¢ÂÂalimentatore 12Vdc;Check limit switch and variable axis movement;;Carro 2;Hoist 2;wciągnik 2;All_0006_03;3;;Carro
0006_04;Carro 2  intervenuto antiribaltamento 1;Hoist 2 anti-rollover 1;;Controlla finecorsa;Check limit switch;;Carro 2;Hoist 2;wciągnik 2;All_0006_04;3;;Carro
0006_05;Carro 2  intervenuto antiribaltamento 2;Hoist 2 anti-rollover 2;;Controlla finecorsa;Check limit switch;;Carro 2;Hoist 2;wciągnik 2;All_0006_05;3;;Carro
0006_06;Carro 2 manca finecorsa carrello;Hoist 2 trolley limit switch missing;;Controlla finecorsa presenza carrello o traslatore;Check trolley or tranfer limit switch presence;;Carro 2;Hoist 2;wciągnik 2;All_0006_06;3;;Carro
0006_07;Carro 2 laser scan sporco;Hoist 2 dirty laser scan;;Controlla pulizia laser scan carro;Check hoist laser scan cleaning;;Carro 2;Hoist 2;wciągnik 2;All_0006_07;3;;Carro
0006_08;Carro 2 magnetotermico inverter salita discesa;Hoist 2 Up-Down inverter circuit breaker trip;;Controlla inverter salita discesa;Check descent/ascent inverter;;Carro 2;Hoist 2;wciągnik 2;All_0006_08;3;;Carro
0006_09;Carro 2 magnetotermico assi variabili;Hoist 2 variable axis circuit breaker trip;;Controlla finecorsa e movimento asse variabile;Check limit switch and variable axis movement;;Carro 2;Hoist 2;wciągnik 2;All_0006_09;3;;Carro
0006_10;Carro 2 magnetotermico bacinella;Hoist 2 basin circuit breaker trip;;Controlla finecorsa e movimento bacinella;Check limit switch and basin movement;;Carro 2;Hoist 2;wciągnik 2;All_0006_10;3;;Carro
0006_11;Carro 2 messo in ciclo in condizioni errate;Hoist 2 put in cycle in incorrect conditions;;Controlla che il carro sia basso e allineato sul centro vasca;Check that the hoist is low and aligned on the center of the tank;;Carro 2;Hoist 2;wciągnik 2;All_0006_11;3;;Carro
0006_12;Carro 2 bloccato in traslazione da altro carro;Hoist 2 translation blocked by another hoist;;Controlla posizione e stato dei carri coinvolti;Check the position and status of the hoists involved;;Carro 2;Hoist 2;wciągnik 2;All_0006_12;3;;Carro
0006_13;Carro 2  errore feedback rele inserzione;Hoist 2 insertion relay feedback error;;Rivolgersi alla manutenzione elettrica;Contact electrical maintenance;;Carro 2;Hoist 2;wciągnik 2;All_0006_13;3;;Carro
0006_14;Carro 2 Protezione uomo;Hoist 2 Men protection;;Controlla finecorsa pannello sul carro;Checklimit switch panel on hoist;;Carro 2;Hoist 2;wciągnik 2;All_0006_14;3;;Carro
0006_15;Carro 2 Errore feedback velocitÃÂ ;Hoist 2 Power off _ Safety laser scan interrupted;;;;;Carro 2;Hoist 2;wciągnik 2;All_0006_15;3;;Carro
0008_00;Carro 3 allarme conteggio salita-discesa;Hoist 3 Up-Down counter error;;Controlla Finecorsa Carro Alto - Basso - Conteggio;Check hoist up down and counter limit switch;;Carro 3;Hoist 3;wciągnik 3;All_0008_00;3;;Carro
0008_01;Carro 3 manca finecorsa alto o basso in traslazione;Hoist 3 translation up or down limit switch missing;;Controlla finecorsa Carro Alto - Basso;Check hoist up down limit switch;;Carro 3;Hoist 3;wciągnik 3;All_0008_01;3;;Carro
0008_02;Carro 3 collisione avanti;Hoist 3 collision forward;;Controlla finecorsa collisione - sistema conteggio posizione;Check collision limit switch- position counting system;;Carro 3;Hoist 3;wciągnik 3;All_0008_02;3;;Carro
0008_03;Carro 3 collisione indietro;Hoist 3 collision backward;;Controlla finecorsa collisione - sistema conteggio posizione;Check collision limit switch- position counting system;;Carro 3;Hoist 3;wciągnik 3;All_0008_03;3;;Carro
0008_04;Carro 3 allarme inverter;Hoist 3 inverter error;;Controlla inverter movimentazione carro;Check hoist movimentation inverter;;Carro 3;Hoist 3;wciągnik 3;All_0008_04;3;;Carro
0008_05;Carro 3 allarme inverter bacinella;Hoist 3 basin inverter error;;Controlla inverter movimentazione bacinella;Check basin movimentation inverter;;Carro 3;Hoist 3;wciągnik 3;All_0008_05;3;;Carro
0008_06;Carro 3 errore conteggio posizione;Hoist 3 counting position error;;Controlla posizione carro;Check hoist position;;Carro 3;Hoist 3;wciągnik 3;All_0008_06;3;;Carro
0008_07;Carro 3 errore dispositivo conteggio posizione;Hoist 3 counting position device error;;Controlla dispositivo conteggio traslazione carro;Check hoist translation counting device;;Carro 3;Hoist 3;wciągnik 3;All_0008_07;3;;Carro
0008_08;Carro 3 timeout salita o discesa;Hoist 3 up or down timeout;;Controlla movimento salita o discesa carro;Check hoist descent or ascent movement;;Carro 3;Hoist 3;wciągnik 3;All_0008_08;3;;Carro
0008_09;Carro 3 timeout traslazione;Hoist 3 translation timeout;;Controlla movimento traslazione;Check translation movement;;Carro 3;Hoist 3;wciągnik 3;All_0008_09;3;;Carro
0008_10;Carro 3 manca finecorsa centro vasca;Hoist 3 not in tank center aligned;;Controlla posizione carro e finecorsa;Check hoist position;;Carro 3;Hoist 3;wciągnik 3;All_0008_10;3;;Carro
0008_11;Carro 3 discesa su posizione occupata;Hoist 3 descent on busy position;;Controlla posizione carro e fotocellua posizione occupata;Check hoist and busy tank photo-cell position;;Carro 3;Hoist 3;wciągnik 3;All_0008_11;3;;Carro
0008_12;Carro 3 limite extracorsa superiore;Hoist 3 up overrun limit;;Controlla Finecorsa Carro Alto - Basso - Conteggio;Check hoist counting high - low limit switch;;Carro 3;Hoist 3;wciągnik 3;All_0008_12;3;;Carro
0008_13;Carro 3 limite extracorsa inferiore;Hoist 3 down overrun limit;;Controlla Finecorsa Carro Alto - Basso - Conteggio;Check hoist counting high - low limit switch;;Carro 3;Hoist 3;wciągnik 3;All_0008_13;3;;Carro
0008_14;Carro 3 bloccato da coperchi;Hoist 3 blocked by covers;;Controlla Finecorsa e movimento coperchi;Check limit switch and covers movement;;Carro 3;Hoist 3;wciągnik 3;All_0008_14;3;;Carro
0008_15;Carro 3 bloccato da agitazione;Hoist 3 blocked by movement;;Controlla Finecorsa e movimento agitazione;Check limit switch and movement;;Carro 3;Hoist 3;wciągnik 3;All_0008_15;3;;Carro
0010_00;Carro 3 timeout apertura bacinella;Hoist 3 basin opening timeout;;Controlla finecorsa e movimento bacinella;Check limit switch and basin movement;;Carro 3;Hoist 3;wciągnik 3;All_0010_00;3;;Carro
0010_01;Carro 3 timeout chiusura bacinella;Hoist 3 basin closing timeout;;Controlla finecorsa e movimento bacinella;Check limit switch and basin movement;;Carro 3;Hoist 3;wciągnik 3;All_0010_01;3;;Carro
0010_02;Carro 3 manca finecorsa bacinella;Hoist 3 basin limit switch missing;;Controlla finecorsa e movimento bacinella;Check limit switch and basin movement;;Carro 3;Hoist 3;wciągnik 3;All_0010_02;3;;Carro
0010_03;Carro 3 ST movimentazione telai;Hoist 3 timeout variable axis left;;Verificare lÃ¢ÂÂalimentatore 12Vdc;Check limit switch and variable axis movement;;Carro 3;Hoist 3;wciągnik 3;All_0010_03;3;;Carro
0010_04;Carro 3 timeout asse variabile dx;Hoist 3 timeout variable axis right;;Controlla finecorsa e movimento asse variabile;Check limit switch and variable axis movement;;Carro 3;Hoist 3;wciągnik 3;All_0010_04;3;;Carro
0010_05;Carro 3 spare;Hoist 3 spare;;;;;Carro 3;Hoist 3;wciągnik 3;All_0010_05;3;;Carro
0010_06;Carro 3 manca finecorsa carrello;Hoist 3 trolley limit switch missing;;Controlla finecorsa presenza carrello o traslatore;Check trolley or tranfer limit switch presence;;Carro 3;Hoist 3;wciągnik 3;All_0010_06;3;;Carro
